Title, Alternate Title, Year, MOvie or TV, qedcat page, IMDB number, Math stars, Comments
"""Act Your Age""",,1949,MO,,0257361,2,"""Unintentionally hilarious morality short. Jim gets frustrated with some simultaneousequations, and starts carving his initials into the school desk. Actually, it's hard toblame him:  the equations are 3x+4y+3z =14, 2x+y/2+z=16 and y+3z=6, with solution x=244/33, y=&minus;156/33, z=118/33."""
"""The Adding Machine""",,1969,MO,adding_machine.html,0063985,1,"""A counting-obsessed accountant named Zero commits a murder."""
"""After Midnight""","""Dopo Mezzanotte""",2004,MO,dopo.html,0402141,4,"""The lead characters win the lottery by playing the first few Fibonacci numbers. They spout the usual lines about Fibonacci numbers in nature."""
"""Alexander the Great""",,1956,MO,,0048937,1,"""Quick 1-liner from young Alexander about learning logic and mathematics at the feet of Aristotle, while his father hogs the glory of conquest."""
"""Agora""",,2009,MO,,1186830,4,"""Turgid telling of the story of Hypatia. Lots of loony Christians, but not so much maths. Hypatia's father, Theon of Alexandria, appears. There's some conics and some musing over planetary motion, and a good scene where Hypatia draws an ellipse in the sand. This is used as a metaphor, indicating what may havebeen lost by Hypatia's murder."""
"""Alien Hunter""",,2003,MO,alien_hunter.html,0327409,3,"""The main character is an expert cryptanalyst. Very funny blooper involving the chances of something being '99 to the infinite ...', but not 100."""
"""All In""",,2006,MO,,0475217,1,"""A silly poker movie, with a few nonsensical percentages thrown in to make it sound plausible."""
"""All Quiet on the Western Front""",,1930,MO,,0020629,3,"""Very odd little scene, with a soldier at the front entertaining himself by learning the formula for the sum of an arithmetic series."""
"""Alternative Math""",,2017,MO,,7044478,3,"""A very funny short film, which can be viewed <a href='https://www.youtube.com/watch?v=Zh3Yz3PiXZw'>here</a>, about a teacher getting in trouble for insisting that 2 + 2 cannot equal 22."""
"""Amarcord""",,1973,MO,,0071129,2,"""A student is at the board,trying  to solve 32<i>x</i><sup>2</sup>+280<i>x</i>+118 =0.Eventually the teacher helps: her answer is incorrect. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""The Amateur""",,1981,MO,,0082005,1,"""A spy is writing a book on Elizabethan codes and ciphers."""
"""The American President""",,1995,MO,american_president.html,0112346,2,"""One of the President's aides is a mathematician."""
"""Amy & Isabelle""",,2001,TV,,0264360,3,"""A teacher talks of the beauty and usefulness of maths. Extended classroom scene on right triangles, and an extended sceneon Millay's famous poem: 'Euclid alone has looked on beauty bare'."""
"""Angels & Demons""",,2009,MO,,0808151,2,"""Ambigrams are a theme in the movie, and there's a bit of number mysticismcentred on 503."""
"""Anna to the Infinite Power""",,1983,MO,,0085169,2,"""A child prodigy turns out to be the clone of an infinite physicist. A pretty funny scene, where the music turns out to be able to calculate cube roots."""
"""Annapolis""",,2006,MO,,0417433,2,"""Navy recruits learn calculus, and give strange  map coordinates: '65 degrees 85 minutes North'."""
"""Another Gay Movie""",,2006,MO,,0443431,2,"""The things we have to watch for this webpage! Andy fantasises having sex duringa maths class withhis teacher, Mr. Puckov. Averting our eyes, we noticed the surface integrals on the blackboard behind them."""
"""Antonia's Line""",,1995,MO,antonias_line.html,0112379,3,"""A movie about a wunderkind who becomes a mathematician. Wunderkind calculations, and a homological algebra lecture with commuting diagrams on blackboards. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Apocalypse Now""",,1979,MO,,0078788,1,"""Dennis Hopper (as the relatively sane one!) tries to explain Marlon Brando to Michael Sheen: 'This is dialectics.It's very simple dialectics,one through nine.No maybes, no supposes,no fractions.You can'ttravel in space,you can't go out intospace, you know, without like you know, uh,  with fractions.What are you gonnaland on? 1/4, 3/8?' <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Apollo 13""",,1995,MO,,0112384,1,"""A slide rule appears in one scene, when Mission Controlchecks Jim Lovell's (Tom Hanks') gimbal angle conversions. Apparently this is <i>not</i> a blooper, despite some such claims. Slide rules are pointless for addition and subtraction, but thereis more to the gimbal calcualtions than that.  John Llewellyn was the real life slide rule guy, and claims he diduse a slide rule for such calculations."""
"""Are You With It?""",,1948,MO,,0040111,4,"""Donald O'Connor plays Milton Haskins,an actuary who misplaces a decimal point, and despondentlyquits to become a carny. Some very funny bits, with Milton doing instantaneous calculations with a slide rule. He determines when a poker machine will pay off as 'a simple problem in arithmetical progressions ... on the second winning playa combination had been reached, equal to the square root of 322 million raisedto the 11th power ... one more play should produce the Johnpot'. Milton also explainsthat 'dancing is merely a question of applied mathematics': he demonstrates,with 3 times 2 times 2,  leading to a terrific tapdancing routine.  <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""The Arrival""",,1996,MO,arrival.html,0115571,3,"""Very funny blooper involving an incorrect way to add percentages. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Atama-yama""",,2002,MO,,0351382,2,"""Weird cartoon, culminating with a man having his smaller self sitting on his head, in an infinite descending sequence."""
"""Attack Girls' Swim Team Versus the Undead""",,2007,MO,,1134826,3,"""Hilarious Z grade horror scene, where the maths teacher turns into a zombie while asking a word problem.Then he starts chopping off limbs using his metal rulers. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Au hasard Balthazar""",,1966,MO,,0060138,2,"""The main character is a  donkey. He becomes a circus act, and correctlycalculates 834 x 3."""
"""Au Revoir Les Enfants""",,1987,MO,,0092593,3,"""A teacher discusses the fact that in a quadrilateral circumscribed around a circle, the sum of two opposite sides is equal to the sum of two remaining sides."""
"""The Avengers""",,1998,MO,,0118661,2,"""Uma Thurman runs down an Escherlike staircase and into a Pacmanlike  maze of rooms."""
"""The Aviator""",,2004,MO,,0338751,3,"""Howard Hughes passes off a meteorologist as a mathematician to a censorship boardobjecting to Hughes's movie.  The 'mathematician' uses calipers to provethat Jane Russel's d&eacute;collet&eacute; is consistent with that of other movie stars."""
"""Bachelor of Hearts""",,1958,MO,,0051391,3,"""A sweet comedy about a German student who visits Oxford to study mathematics, and finds beer and romance. He tries to become first wrangler (which is difficult, given he's notat Cambridge).There's some maths around the edges."""
"""Back to the Future Part III""",,1990,MO,,0099088,2,"""The heroes 'think four-dimensionally' in order to drive a locomotive towards a bridge that hasn't been built yet. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The Bad News Bears""",,1976,MO,,0074174,1,"""A 'Sure ain't  like algebra, is it?' 1-liner."""
"""Ball of Fire""",,1941,MO,,0033373,3,"""Fun movie about a team of stuffy academicsbeing charmed by Barbara Stanwyck. When Isaac Newton is raised, she refers to herselfas just another apple. The mathematician tries to find the common denominator ofher syncopated dance moves, and argues from relativity that the signpost ran intotheir car. The academics argue over whether the correct grammar is'two and two is five', or 'two and two are five'. They also use Archimede's mirrorsidea to thwart the bad guys.<a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page.</a>"""
"""The Bank""",,2001,MO,bank.html,0241223,5,"""A maths prodigy takes revenge on a bank. Tons of maths."""
"""Baraka X&minus;77""",,1966,MO,baraka.html,0058943,1,"""The cracking of Professor Sartan's code, and mention of a book 'Introduction to the theory of tensor equations'."""
"""Basketball and Maths""",,2009,MO,,2148926,1,"""A French short about gay teenagers. One short and weird scene with some tutoring of fractions."""
"""Batman""",,1966,MO,batman.html,0060153,3,"""'Penguin, Joker, Riddler, and Cat Woman, too. The sum of the angles of that rectangle is too monstrous to contemplate!'"""
"""Battlefield Earth""",,2000,MO,battlefield_earth.html,0185183,3,"""The hero is put into a learning machine and learns about maths: Equilateral triangles, quadratic formula, etc."""
"""Battle of the Worlds""","""Il Pianeta Degli Uomini Spenti""",1961,MO,battle_of_the_worlds.html,0054950,3,"""Crazy mathematician does calculus on flowerpots. Pythagoras's harmony of the spheres gets a mention."""
"""A Beautiful Mind""",,2001,MO,,0268978,5,"""An excellent movie about the brilliant mathematician John Nash, who won the Nobel Prize in economics for hiswork in game theory. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Beautiful Ohio""",,2006,MO,,0479275,4,"""Excellent, dark movie about a maths prodigy and his family, seen through the eyes of his less brilliant brother.  'Square root of 56 389'. '237 point, about 46'. 'That truly is extraodinary. Where do you get that from?' 'From the back of the sock drawer'. Maths scattered throughout, including the famous weighing puzzle of 12 coins containing a counterfeit."""
"""Bedazzled""",,1967,MO,,0061391,3,"""Peter Cook, as the devil, explains to Dudley Moore that everything he's ever saidto him is a lie. A very funny display of the Liar's Paradox. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Bedazzled""",,2000,MO,bedazzled.html,0230030,3,"""Elizabeth Hurley as a devil-teacher, denouncing Fermat's last theorem as useless. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The Beginning or the End""",,1947,MO,,0039178,1,"""Movie about the making of the atom bomb. One  scene pans across academicsworking on supposedly relevant mathematics: mostly  long divisionof polynomials."""
"""Believers""",,2007,TV,,0878652,3,"""A movie about a loony cult, whose leader think a PDE and killing themselveswill save them from the end of the world. The loons turn out to be correct."""
"""The Belly of an Architect""",,1987,MO,,0092637,1,"""Nice scene in which the main character of the movie discusses the portrait of Isaac Newton on an old British 1 pound note."""
"""The Best of Youth""","""La Meglio Giovent&ugrave;""",2003,MO,,0346336,2,"""Giulia explains that she started studying maths because she wanted to solve the problem of the jealous husbands: three coupleswant to cross the river in a boat which only holds two people, and each jealous husbandrefuses to have his wife left with other men.  Giulia's audience doesn'tget very far with the solution."""
"""Better Off Dead""",,1985,MO,better_off_dead.html,0088794,3,"""A comedy in which a maths teacher doing really boring and nonsensical maths is worshipped by his students. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Beyond Tomorrow""",,1940,MO,,0032247,1,"""On Christmas Eve, a couple of engineers are dictating some specifications for concrete."""
"""Bianca""",,1984,MO,bianca.html,0085240,4,"""A murderous maths teacher. Classroom scenes feature calculusand D&uuml;rer's magic square."""
"""Big""",,1988,MO,big.html,0094737,2,"""Tom Hanks helping a kid with his algebra homework. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Big Shot: Confessions of a Campus Bookie""",,2002,MO,,0299535,2,"""Very funny scene of a student who has partied all night being called on in class by his maths lecturer."""
"""Bill &amp; Ted's Bogus Journey""",,1991,MO,ted_and_bill.html,0101452,3,"""Bill and Ted (Keanu Reeves) run into Colonel Oats, who makes them do infinity push-ups. They contemplate that it might be possible if they're allowed to do them girly style."""
"""Billy Madison""",,1995,MO,,0112508,2,"""1 is included in a list of primes, and there's a funny scene involving a non-sensical quadratic problem."""
"""Bingo""",,1991,MO,bingo.html,0101455,3,"""Bingo is a very smart dog: he can do square roots. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""The Birds""",,1963,MO,,0056869,1,"""Some arithmetic problems on the blackboards in one scene."""
"""Blackboard Massacre""",,1976,MO,,0074875,1,"""A 1-liner about a 'goddam math problem' that won't come out."""
"""Blackboard Jungle""",,1955,MO,,0047885,2,"""Josh decries the quality of his students. 'They don't even know their multiplicationtables!' 'Of course not. All they can multiply is themselves.' Later, Edwards triesto connect music to mathematics:   the students respond by destroying his record collection."""
"""The Blackout""",,2013,MO,,2141761,1,"""A movie about a crazy band called Bad Math. 'Listen, if I'm fully drunk, and she's half attractive, then she's fully attractive.''You know, if Heath Ledger did that kind of math, then he'd still be alive.'"""
"""Black Narcissus""",,1947,MO,,0039192,1,"""Nuns teaching in the Himalayas, with a little algebra in one scene."""
"""The Black Shell""",,2008,MO,,1385488,4,"""Excellent short film, with a probability theme. Abby is a PhD student performinga computer graphics version of the monkeys and typewriters.  The difficulty of winning the lottery is illustrated by trying to pick a blackpasta shell out of a bowl of shells. Abby's daughter picks the black shell first go."""
"""Blaise Pascal""",,1972,TV,,0066839,2,"""Lots of philosophy and essentially no maths in Roberto Rossellini's biopic. The mathematician Marin Mersenne makes a brief appearance."""
"""Bloodfist VIII: Trained to Kill""",,1996,MO,bloodfist.html,0115711,2,"""The main character is an ex-spy and martial art expert posing as a maths teacher."""
"""Bloodhounds of Broadway""",,1952,MO,,0044431,3,"""Numbers Foster uses his mathematical talents as a bookie. A very funnyscene where Numbers practises multiplication to help him relax. One blooper,where Numbers claims that 52 x 95 = 5044."""
"""The Blue Angel""","""Der Blaue Engel""",1930,MO,blue_angel.html,0020697,1,"""In one scene, the blackboard behind Professor Unrat contains some trigonometry."""
"""Botchan""",,1980,MO,,,1,"""Animated version of this traditional Japanese story about a teacher. Some geometry in a couple classroom scenes."""
"""Box of Moon Light""",,1996,MO,,0020697,2,"""Gigantic flash cards for learning the times tables keep reappearing. They don't seem to do a lot of good."""
"""Brain Dead""",,1987,MO,brain_dead.html,0319103,3,"""An insane mathematician is in possession of a valuable formula. Great blackboard, where a ton of  calculations = BOOM! <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Bratz""",,2007,MO,,0804452,2,"""A stereotypical asian math girl, who gets called over with 'check out this radical theorem'. A silly tutoring scene with the girlhelping the football team."""
"""Brave Archer 3""","""Se Diu Ying Hung Juen Saam Jaap""",1981,MO,,0079896,3,"""This movie features a 10x10 magic square. The properties of magic squares are explained using the usual 3x3 magic square. Anda problem is posed: ``A number that divided by 3 leaves 2, divided by 5 leaves 3 and divided by 7 leaves 2. What is the number?''"""
"""Breaking the Code""",,1996,TV,breaking_the_code.html,0115749,5,"""A great movie about the mathematician and logician Alan Turing. Fibonacci numbers make a notable appearance."""
"""The Bridge on the River Kwai""",,1957,MO,,0050212,2,"""'If you make one [parachute] jump you've got 50% chance of injury. If you make two, 80%, and three you are bound to catch a packet. ... go ahead and jump and hope for the best'. Response from the jumper: 'With or without parachute?'"""
"""Brutal""",,2007,MO,,1018877,4,"""A mild-mannered science teacher uses Fibonacci numbers and flowers to plan his murders."""
"""Buck Privates""",,1941,MO,buck_privates.html,0033436,4,"""Abbott and Costello have somehilarious math-based  routines."""
"""Bullshot""",,1983,MO,bullshot.html,0085279,3,"""How to hunt: 'By rapidly calculating the pigeon's angle of elevation in the reflection of your monocle, then subtracting the refractive index of its lens, I positioned myself at a complementary axis and fired.' And a dumb blonde recalls a formula: 'It started with a capital N, and then there was a little A, followed by a 3. Ah, then there was a squiggle above a tick, and ah ... a hot cross bun sign.' <a href='http://www.qedcat.com/movieclips/index.html'>Clips on our maths clips page.</a>"""
"""Bullitt""",,1968,MO,,0062765,1,"""A funny little exchange, with Steve McQueen (not) helping to determine the velocity of water in a pipe.</a>"""
"""Butterfly Dreaming""",,2008,MO,,0961721,3,"""A stylish dream-or-reality movie, where the main character, Rob,is  a mathematics professor. There's a couple fleeting references to homomorphisms and stable homotopies, and a very nice image of cycloids, made by following the reflectors on bicycle wheels. There's also a blooper where Rob estimates the number of leaves on a tree by imagining 12 branchings, and then 2<sup>12</sup> is supposedly about 8000. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>"""
"""Cabiria""",,1914,MO,cabiria.html,0003740,3,"""The earliest movie we know of containing maths.Archimedes uses a compass (?) to design his ship-burning mirrors. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Caddyshack""",,1980,MO,caddyshank.html,0080487,2,"""Comedy golf scene: to illustrate that the shortest distance between two points is a straight line, Chevy Chase makes his ball jump over another one into the hole. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Calabuch""",,1956,MO,caddyshank.html,0049042,2,"""Some singing of times tables, and a retired physicist writes some equationson a wall."""
"""Can't Buy me Love""",,1987,MO,,0092718,1,"""'1500 dollars! Yeah, I mowed 331 miles of grass this summer, that's 4 dollars and 54 cents per mile.' Actually it's 4 dollars and 53 cents per mile."""
"""Carreteras Secundarias""","""Backroads""",1997,MO,,0118822,1,"""In a failed attempt to keep him from his father's criminal ways, Felipeis provided with a tutor: 'OK, again. The derivative ofthe function at x is the tangentof the curve at the given  point.... it's very easy,it's just youdon't pay attention.The tangent andderivative are the same.' Felipe punches the tutor in the nose."""
"""Carry on Teacher""",,1959,MO,carry_on.html,0052676,2,"""A smug supervisor interrupts maths class, to test how kids react to him noting down two-digit numbers with the two digits reversed. Ends with a kid asking him to write down 33. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Cartesius""",,1974,TV,,0161382,3,"""More philosophy than maths in Roberto Rossellini's biopic. One extended scene has Descartes solving a gravitational problem posed by the mathematicianIsaac Beeckman. The mathematician Marin Mersenne makes a brief appearance."""
"""Casino Royale""",,2006,MO,,0381061,1,"""M describes the villain Le Chiffre as a mathematical prodigy. Bond apparently isn't: he declares Le Chiffre had a 23 to 1 chance of the river card turning his two pair into a full house. The correct odds are 10.5 to 1. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Cast Away""",,2000,MO,cast_away.html,0162222,2,"""Tom Hanks calculates the size of the circular area that his rescuers will have to search. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The  Cat from Outer Space""",,1978,MO,,0077305,2,"""The cat from outer space compliments a human on his equations: 'They are really not bad at all, for a human.'"""
"""Cats and Dogs: The Revenge of Kitty Galore""",,2010,MO,,1287468,2,"""One not very funny line with a pigeon testing a cat what 8 x 8 is."""
"""C'est le Tangente Que Je Pr&eacute;f&egrave;re""",,1997,MO,tangente.html,0115797,4,"""Alternate and more accurate title: Love, maths and Sex. The heroine is a mathematical prodigy. The non-sex includes quadratic equations, probability, topology, the M&ouml;bius strip, and a maths competition."""
"""Chariton's Choir""","""I Horodia Tou Hariton""",2005,MO,,0484357,2,"""A Greek love-of-life movie, with 'Helen of Troy', a beautiful mathematics teacher, as the love interest. One Pythagoras scene, with all the schoolboys very attentive."""
"""Chaos""",,2005,MO,,0402910,2,"""A criminal who calls himself Lorentz leaves clues involving chaos theory (invented, according to the movie, by Edward Lorentz). <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Cheating""",,1952,MO,,0291806,2,"""Silly morality short.John can't factorize x<sup>2</sup>-9x+20, which leads him to a life of cheating."""
"""Check and Double Check""",,1930,MO,,0020758,3,"""Very weird arithmetic, with Amos n' Andy calculating 10% of $12."""
"""Chen Jingrun""",,2001,MO,,,4,"""A 9-hour soapie about the famous Chinese mathematician, documentingChen's simultaneous struggles with authoritarian thugs and the Goldbach conjecture."""
"""Cherry""",,2010,MO,,1315350,2,"""A bright university freshman strays from his studies. A few Archimedes references, and some force and pressure equations."""
"""Chicago""",,2002,MO,,0299658,1,"""'In 47 years, Cook County ain't never hung a woman yet.So, the odds are 47 to 1 that they won't hang you.'"""
"""Chicken Little""",,2005,MO,,0371606,1,"""In the big game, the baseball scoreboard has the total runs added incorrectly."""
"""Children of the Damned""",,1963,MO,,0056931,1,"""Some geometry in the background, as a creepy child zooms through an I.Q. test."""
"""A Christmas Without Snow""",,1980,MO,,0080532,1,"""John Houseman gives a short sermon about music being 'fraught with numbers'."""
"""Christmas Vacation""",,1989,MO,,0097958,1,"""Clark Griswold sets the stagefor turning on the Christmas decorations: 'Two hundred and fifty strands of lights,one hundred individual bulbs per strand,for a grand total of twenty-five thousandimported Italian twinkle lights.Twenty-five thousand.' The lights don't go on.<a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page.</a>"""
"""A Chump at Oxford""",,1940,MO,,0032339,1,"""There are publicity stills of Laurel and Hardy in front of a blackboard with arithmetic: 2 + 2 = 7 and 3 + 3 = 9. However, there seem to be no corresponding scene in the movie."""
"""Cipher in the Snow""",,1973,MO,,0368645,1,"""A famous short film, a poignant story  of a boy and his maths teacher. No maths."""
"""Citizen Kane""",,1941,MO,,0033467,1,"""Kane (Orson Wells)  on blowing money on his pet newspaper: 'You are right, I did lose a million dollars last year, I expect to lose a million dollars this year, I expect to lose a million dollars next year. You know at a rate of a million dollars a year I'll have to close this place in 60 years.'"""
"""Clan of the Cave Bear""",,1986,MO,clan.html,0090848,3,"""Daryl Hannan as a Cro-Magnon woman, the original mathematician. She learns how to count in fives, using a combination of fingers, doubling, and notches on a stick. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Saint Clara""","""Clara Hakedosha""",1996,MO,,0115909,3,"""Clara twice correctly predicts which 5 questions out of 1000 the mathematics teacher will set on the test. The teacher tries to explain to Clara's parents the unlikelihood of this,  bygiving the famous example about doubling the grains of rice on the squares of a chess board. Clara's father shows how to divide a cake into seven equal pieces: he divides it into 8 pieces and throwsthe eighth piece away. Later, the teacher assigns Clara an 'impossible problem',&radic;(2-x<sup>2</sup>) = 4, and all Hell breaks loose."""
"""Class Action""",,1991,MO,class_action.html,0101590,1,"""An actuarial beancounter shows why it is cheaper to deal with law suits  than to fix a deadly fault in some cars."""
"""A Class Apart""",,2007,TV,,0944831,2,"""A few maths school scenes, including the familiar 'find X' &minus; 'Here it is!' Pythagorasjoke."""
"""Cloak and Dagger""",,1946,MO,,0038417,3,"""Gary Cooper in hiding passes the time by drawing  on a wall, calculating  the arc length of a trigonometric curve."""
"""Clue""",,1985,MO,clue.html,0088930,3,"""Wadsworth the butler and Miss Scarlet have a very funny argument with sums, debating whether a gun is empty."""
"""Clueless""",,1995,MO,clueless.html,0112697,3,"""7 times 7 is apparently too much to ask of someone who is really clueless. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Coach Carter""",,2005,MO,,0393162,1,"""A couple of references to studying maths, and an algebra book."""
"""The  Cocoanuts""",,1929,MO,,0019777,3,"""Groucho and Chico have great fun with numbers at an auction. Chico also makes a pun on the word 'radius'."""
"""The  Code Conspiracy""",,2001,MO,,0247254,2,"""A silly thriller based around a bunch of guys working on 'keyless encryption'.Lots of mumbo jumbo in the style of the Bible Code. The main maths guy mentionsthat primes are random. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Codename Icarus""",,1981,TV,,0301116,3,"""Martin is a form 4 student accused of cheating, becausehe solves a quadratic equation without performing all the steps.In his spare time, Martin corresponds by computer, setting and solving problems on thedecomposing of Lie groups."""
"""The Cold Equations""",,1996,MO,,0115921,2,"""A stowaway on a rocket ship means there's not enough fuel to reach safety. Some grim, and pretty accurate, discussion of the calculations."""
"""Colossus: The Forbin Project""",,1970,MO,colossus.html,0064177,3,"""Colossus is a supercomputer placed in charge of running America. It uses mathematics  to establish communication with its Russian counterpart. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The Computer Wore Tennis Shoes""",,1969,MO,,0065566,2,"""After Dexter gets zapped and turned into a human computer, he is tested by a panel that includes a professor of mathematics. The professor's first question for Dexteris hopelessly garbled (and wouldn't require calculus to solve as is suggested), though Dexter supposedly answers it correctly.The second question is to find the square root of the ninth powerof 13, which Dexter answers correctly. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page.</a>"""
"""Conceiving Ada""",,1997,MO,conceiving_ada.html,0118882,3,"""Turgidly told story of the mathematicians Ada Byron and Charles Babbage."""
"""Contact""",,1997,MO,contact.html,0118884,3,"""SETI researchers detect an alien signal. The various layers of information are accessible via prime numbers and a cube. Also features a dodecahedron-shaped space capsule. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clips on Oliver Knill's page.</a>"""
"""Copenhagen""",,2002,TV,copenhagen.html,0340057,2,"""Werner Heisenberg and Nils Bohr are trying to make sense of a meeting they had during World War II. Lots of maths and physics references."""
"""The Core""",,2003,MO,core.html,0298814,2,"""The first few prime numbers areused to encode a secret message."""
"""The Count of Monte Cristo""",,2002,MO,,0245844,2,"""The Abb&eacute; and the Count calculate their progress with their escape tunnel. 'Compute this. 2500 cubic centimeteres of rock and dust per day, for 365 days.' 'Equals three and a half meters a year, 12 feet, a foot a month, 3 inches a week'. Newton's third law also gets a mention, and there appears to be some algebra on the cell wall.  <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Crazy""",,2000,MO,,0215681,2,"""A boy in a boarding school has problems with maths (amongst other things)."""
